STATECD,COUNTYCD,FIADBPLOT,LAT,LON
41,19,93334,43.73096,-123.42
41,19,97522,43.4829,-122.884
41,23,74370,44.11866,-118.622
41,27,98585,45.39454,-121.501
41,31,50555,44.62058,-120.537
41,39,52997,43.54418,-122.559
41,39,56035,44.07337,-123.989
41,39,56847,43.93048,-123.98
41,39,60443,44.26969,-123.675
41,39,60795,43.97602,-122.418
41,39,61151,44.17477,-123.854
41,39,64419,43.9711,-124.112
41,39,67413,43.58463,-123.035
41,39,68360,43.63627,-122.558
41,39,83634,43.72919,-122.288
41,39,87412,44.26984,-123.856
41,39,89353,43.5506,-123.062
41,39,89447,44.22587,-123.684
41,39,90586,43.68274,-122.565
41,39,94614,43.83369,-122.554
41,39,96875,43.9736,-123.851
41,41,52365,44.46846,-123.928
41,41,60034,44.29656,-123.885
41,41,85351,44.36886,-124.06
41,43,55075,44.36579,-122.622
41,43,63970,44.36563,-121.998
41,43,88878,44.71857,-122.407
41,43,90939,44.22296,-122.349
41,51,65251,45.48408,-122.022
41,57,71028,45.23638,-123.535
41,59,67821,45.79619,-118.115
41,59,74827,45.10121,-119.072
41,61,79413,45.16917,-117.731
41,61,82222,45.59295,-117.937
41,61,96250,45.4071,-118.284
41,65,62905,45.10743,-121.365
41,65,66713,45.0216,-121.60311
41,67,52612,45.74594,-123.323
41,71,54895,45.09758,-123.733
41,71,72313,45.18155,-123.7
41,1,66490,44.9961,-117.377
41,3,58267,44.36699,-123.503
41,3,88586,44.60448,-123.367
41,5,54961,45.20624,-121.777
41,5,55784,45.30903,-121.987
41,5,60634,45.40564,-122.406
41,5,65107,45.18308,-122.128
41,5,75011,45.13776,-122.307
41,5,77205,44.9125,-121.92009
41,5,91736,45.0592,-121.782
41,7,56407,46.16779,-123.539
41,7,91340,45.99406,-123.528
