"Year","CN","RW"
1864,"17T16",1.3
1865,"17T16",1.4
1866,"17T16",1.7
1867,"17T16",1.72
1868,"17T16",2.01
1869,"17T16",2.51
1870,"17T16",2.65
1871,"17T16",2.86
1872,"17T16",3.28
1873,"17T16",4.42
1874,"17T16",4.4
1875,"17T16",5.17
1876,"17T16",4.01
1877,"17T16",3.73
1878,"17T16",2.83
1879,"17T16",3.31
1880,"17T16",2.64
1881,"17T16",2.62
1882,"17T16",3.53
1883,"17T16",4.88
1884,"17T16",3.91
1885,"17T16",4.33
1886,"17T16",4.26
1887,"17T16",3.83
1888,"17T16",3.31
1889,"17T16",3.94
1890,"17T16",3.25
1891,"17T16",2.87
1892,"17T16",3.75
1893,"17T16",3.97
1894,"17T16",2.83
1895,"17T16",2.25
1896,"17T16",2.09
1897,"17T16",1.74
1898,"17T16",2.83
1899,"17T16",1.99
1900,"17T16",2.71
1901,"17T16",4.13
1902,"17T16",4.1
1903,"17T16",3.65
1904,"17T16",2.37
1905,"17T16",2.67
1906,"17T16",2.49
1907,"17T16",2.56
1908,"17T16",2.76
1909,"17T16",2.76
1910,"17T16",3.58
1911,"17T16",4.87
1912,"17T16",5.74
1913,"17T16",4.29
1914,"17T16",3.05
1915,"17T16",1.98
1916,"17T16",1.82
1917,"17T16",1.3
1918,"17T16",0.79
1919,"17T16",0.99
1920,"17T16",1.22
1921,"17T16",1.16
1922,"17T16",0.7
1923,"17T16",0.41
1924,"17T16",0.55
1925,"17T16",0.39
1926,"17T16",0.32
1927,"17T16",0.6
1928,"17T16",0.83
1929,"17T16",1.03
1930,"17T16",1.47
1931,"17T16",2.24
1932,"17T16",2.86
1933,"17T16",0.7
1934,"17T16",3.71
1935,"17T16",1.78
1936,"17T16",1.75
1937,"17T16",2.75
1938,"17T16",2.69
1939,"17T16",1.93
1940,"17T16",2.11
1941,"17T16",2.59
1942,"17T16",2.44
1943,"17T16",2.53
1944,"17T16",1.8
1945,"17T16",0.88
1946,"17T16",2.03
1947,"17T16",2.48
1948,"17T16",2.67
1949,"17T16",2.25
1950,"17T16",2.19
1951,"17T16",2.69
1952,"17T16",1.46
1953,"17T16",2.1
1954,"17T16",2.25
1955,"17T16",2.12
1956,"17T16",2.24
1957,"17T16",2.26
1958,"17T16",1.76
1959,"17T16",1.53
1960,"17T16",0
1961,"17T16",0.28
1962,"17T16",0.5
1963,"17T16",0.54
1964,"17T16",0.72
1965,"17T16",0.84
1966,"17T16",0.91
1967,"17T16",1.26
1968,"17T16",1.24
1969,"17T16",1.24
1970,"17T16",1.66
1971,"17T16",1.73
1972,"17T16",1.2
1973,"17T16",0.71
1974,"17T16",0.37
1975,"17T16",0.54
1976,"17T16",0.65
1977,"17T16",0.89
1978,"17T16",0.98
1979,"17T16",0.67
1980,"17T16",0.96
1981,"17T16",0.8
1982,"17T16",0.73
1983,"17T16",0.7
1984,"17T16",0.72
1985,"17T16",0.67
1986,"17T16",0.69
1987,"17T16",0.6
1988,"17T16",0.55
1989,"17T16",0.63
1990,"17T16",0.62
1991,"17T16",0.45
1992,"17T16",0.44
1993,"17T16",0.47
1994,"17T16",0.69
1995,"17T16",0.6
1996,"17T16",0.49
1997,"17T16",0.48
1998,"17T16",0.6
1999,"17T16",0.48
2000,"17T16",0.65
2001,"17T16",0.3
2002,"17T16",0.45
2003,"17T16",0.55
2004,"17T16",0.42
2005,"17T16",0.56
2006,"17T16",0.45
2007,"17T16",0.63
2008,"17T16",0.69
2009,"17T16",0.78
2010,"17T16",1.05
2011,"17T16",1.12
2012,"17T16",1.4
2013,"17T16",1.06
2014,"17T16",1.04
2015,"17T16",1.24
2016,"17T16",0.96
2017,"17T16",1.03
1966,"17T18",4.85
1967,"17T18",4.97
1968,"17T18",4.68
1969,"17T18",4.95
1970,"17T18",5.61
1971,"17T18",7.12
1972,"17T18",4.89
1973,"17T18",3.71
1974,"17T18",4.75
1975,"17T18",4.93
1976,"17T18",6.21
1977,"17T18",3.58
1978,"17T18",4.14
1979,"17T18",4.67
1980,"17T18",5.47
1981,"17T18",4.99
1982,"17T18",4.66
1983,"17T18",5.34
1984,"17T18",4.61
1985,"17T18",3.43
1986,"17T18",2.65
1987,"17T18",5.74
1988,"17T18",5.37
1989,"17T18",3.72
1990,"17T18",2.74
1991,"17T18",3.31
1992,"17T18",2.8
1993,"17T18",2.83
1994,"17T18",2.77
1995,"17T18",3.04
1996,"17T18",3.18
1997,"17T18",3.32
1998,"17T18",4.13
1999,"17T18",2.92
2000,"17T18",2.06
2001,"17T18",1.68
2002,"17T18",2.03
2003,"17T18",2.11
2004,"17T18",2.64
2005,"17T18",2.17
2006,"17T18",1.93
2007,"17T18",1.92
2008,"17T18",2.98
2009,"17T18",1.77
2010,"17T18",2.52
2011,"17T18",2.77
2012,"17T18",3.12
2013,"17T18",1.79
2014,"17T18",1.8
2015,"17T18",2.21
2016,"17T18",2.2
2017,"17T18",2.48
1962,"17T19",5.1
1963,"17T19",6.38
1964,"17T19",6.01
1965,"17T19",6.94
1966,"17T19",8.37
1967,"17T19",6.31
1968,"17T19",12.75
1969,"17T19",14.26
1970,"17T19",6.65
1971,"17T19",8.94
1972,"17T19",7.21
1973,"17T19",6.9
1974,"17T19",7.5
1975,"17T19",6.42
1976,"17T19",7.41
1977,"17T19",9.06
1978,"17T19",11.69
1979,"17T19",7.12
1980,"17T19",7.44
1981,"17T19",8.06
1982,"17T19",5.26
1983,"17T19",8.54
1984,"17T19",8.76
1985,"17T19",6.39
1986,"17T19",6.89
1987,"17T19",5.5
1988,"17T19",7.83
1989,"17T19",7.1
1990,"17T19",7.32
1991,"17T19",4.96
1992,"17T19",4.74
1993,"17T19",4.09
1994,"17T19",2.92
1995,"17T19",4.5
1996,"17T19",5.84
1997,"17T19",5.98
1998,"17T19",5
1999,"17T19",4.05
2000,"17T19",2.71
2001,"17T19",3.45
2002,"17T19",4.3
2003,"17T19",2.66
2004,"17T19",2.64
2005,"17T19",3.6
2006,"17T19",2.95
2007,"17T19",3.33
2008,"17T19",2.77
2009,"17T19",3.38
2010,"17T19",3.65
2011,"17T19",4.26
2012,"17T19",3.76
2013,"17T19",2.5
2014,"17T19",1.86
2015,"17T19",1.48
2016,"17T19",1.94
2017,"17T19",2.33
1999,"17T21",3.14
2000,"17T21",2.55
2001,"17T21",3.96
2002,"17T21",4.44
2003,"17T21",4.29
2004,"17T21",6.23
2005,"17T21",6.47
2006,"17T21",5.7
2007,"17T21",4.02
2008,"17T21",3.69
2009,"17T21",4.62
2010,"17T21",5.08
2011,"17T21",5.96
2012,"17T21",5.15
2013,"17T21",4.08
2014,"17T21",4.25
2015,"17T21",3.76
2016,"17T21",4
2017,"17T21",3.63
1975,"17T22",4.17
1976,"17T22",5.33
1977,"17T22",5.22
1978,"17T22",6.6
1979,"17T22",6.13
1980,"17T22",7.27
1981,"17T22",7.91
1982,"17T22",5.7
1983,"17T22",6.6
1984,"17T22",6.08
1985,"17T22",6.96
1986,"17T22",6.34
1987,"17T22",6.19
1988,"17T22",6.58
1989,"17T22",6.93
1990,"17T22",6.26
1991,"17T22",7.98
1992,"17T22",8.18
1993,"17T22",8.05
1994,"17T22",7.42
1995,"17T22",6.93
1996,"17T22",6.94
1997,"17T22",6.71
1998,"17T22",7.36
1999,"17T22",6.16
2000,"17T22",6.01
2001,"17T22",6.84
2002,"17T22",6.59
2003,"17T22",5.74
2004,"17T22",6.53
2005,"17T22",6.08
2006,"17T22",4.85
2007,"17T22",4.3
2008,"17T22",5.49
2009,"17T22",3.57
2010,"17T22",6.02
2011,"17T22",5.49
2012,"17T22",5.25
2013,"17T22",3.91
2014,"17T22",4.17
2015,"17T22",4.17
2016,"17T22",3.62
2017,"17T22",2.97
1993,"17T23",4.22
1994,"17T23",5.12
1995,"17T23",4.17
1996,"17T23",3.12
1997,"17T23",4.11
1998,"17T23",3.21
1999,"17T23",3.47
2000,"17T23",4.1
2001,"17T23",3.52
2002,"17T23",4.01
2003,"17T23",4.69
2004,"17T23",4.53
2005,"17T23",4.86
2006,"17T23",4.81
2007,"17T23",4.21
2008,"17T23",5.63
2009,"17T23",5.09
2010,"17T23",5.67
2011,"17T23",6.51
2012,"17T23",6.26
2013,"17T23",4.45
2014,"17T23",4.2
2015,"17T23",4.78
1754,"17T24",1.62
1755,"17T24",2.39
1756,"17T24",1.93
1757,"17T24",1.79
1758,"17T24",2
1759,"17T24",1.9
1760,"17T24",1.74
1761,"17T24",2.12
1762,"17T24",1.75
1763,"17T24",1.9
1764,"17T24",1.69
1765,"17T24",1.78
1766,"17T24",1.43
1767,"17T24",1.62
1768,"17T24",1.94
1769,"17T24",1.77
1770,"17T24",1.91
1771,"17T24",1.92
1772,"17T24",1.85
1773,"17T24",2.14
1774,"17T24",2.06
1775,"17T24",1.69
1776,"17T24",1.65
1777,"17T24",1.68
1778,"17T24",1.66
1779,"17T24",1.62
1780,"17T24",1.83
1781,"17T24",1.48
1782,"17T24",1.38
1783,"17T24",1.41
1784,"17T24",1.06
1785,"17T24",1.05
1786,"17T24",1.25
1787,"17T24",0.94
1788,"17T24",1.17
1789,"17T24",1.25
1790,"17T24",1.11
1791,"17T24",1.69
1792,"17T24",1.31
1793,"17T24",1.29
1794,"17T24",1.27
1795,"17T24",1.33
1796,"17T24",1.19
1797,"17T24",1.28
1798,"17T24",1.35
1799,"17T24",1.36
1800,"17T24",1.35
1801,"17T24",1.26
1802,"17T24",1.44
1803,"17T24",1.37
1804,"17T24",1.24
1805,"17T24",1.27
1806,"17T24",1.18
1807,"17T24",1.1
1808,"17T24",1.07
1809,"17T24",1.06
1810,"17T24",0.84
1811,"17T24",0.92
1812,"17T24",0.88
1813,"17T24",0.86
1814,"17T24",0.9
1815,"17T24",0.95
1816,"17T24",0.86
1817,"17T24",0.87
1818,"17T24",0.82
1819,"17T24",0.98
1820,"17T24",0.91
1821,"17T24",0.89
1822,"17T24",1.08
1823,"17T24",0.77
1824,"17T24",0.68
1825,"17T24",0.97
1826,"17T24",0.89
1827,"17T24",0.81
1828,"17T24",0.91
1829,"17T24",1.2
1830,"17T24",0.86
1831,"17T24",0.74
1832,"17T24",0.59
1833,"17T24",0.76
1834,"17T24",1.43
1835,"17T24",1.68
1836,"17T24",1.26
1837,"17T24",1.37
1838,"17T24",1.16
1839,"17T24",1.35
1840,"17T24",0.99
1841,"17T24",1.07
1842,"17T24",0.79
1843,"17T24",0.99
1844,"17T24",0.85
1845,"17T24",0.93
1846,"17T24",0.94
1847,"17T24",0.6
1848,"17T24",0.86
1849,"17T24",0.77
1850,"17T24",0.79
1851,"17T24",1.06
1852,"17T24",1.05
1853,"17T24",0.97
1854,"17T24",0.93
1855,"17T24",0.97
1856,"17T24",0.86
1857,"17T24",0.74
1858,"17T24",1
1859,"17T24",0.95
1860,"17T24",1.19
1861,"17T24",0.88
1862,"17T24",0.69
1863,"17T24",0.94
1864,"17T24",0.83
1865,"17T24",0.89
1866,"17T24",0.95
1867,"17T24",0.99
1868,"17T24",1.03
1869,"17T24",0.85
1870,"17T24",1
1871,"17T24",0.76
1872,"17T24",0.78
1873,"17T24",0.96
1874,"17T24",0.86
1875,"17T24",1.05
1876,"17T24",0.7
1877,"17T24",0.98
1878,"17T24",0.92
1879,"17T24",1.08
1880,"17T24",0.84
1881,"17T24",0.98
1882,"17T24",1.11
1883,"17T24",0.8
1884,"17T24",0.85
1885,"17T24",0.71
1886,"17T24",0.75
1887,"17T24",0.72
1888,"17T24",0.82
1889,"17T24",0.87
1890,"17T24",0.66
1891,"17T24",0.86
1892,"17T24",0.96
1893,"17T24",0.83
1894,"17T24",0.81
1895,"17T24",0.72
1896,"17T24",0.81
1897,"17T24",0.66
1898,"17T24",0.77
1899,"17T24",0.87
1900,"17T24",0.81
1901,"17T24",0.95
1902,"17T24",0.92
1903,"17T24",0.91
1904,"17T24",1.26
1905,"17T24",1.12
1906,"17T24",1.02
1907,"17T24",0.95
1908,"17T24",1
1909,"17T24",0.82
1910,"17T24",0.7
1911,"17T24",0.83
1912,"17T24",0.95
1913,"17T24",1.05
1914,"17T24",1.05
1915,"17T24",0.99
1916,"17T24",0.8
1917,"17T24",0.65
1918,"17T24",0.63
1919,"17T24",0.55
1920,"17T24",0.63
1921,"17T24",0.63
1922,"17T24",0.78
1923,"17T24",0.82
1924,"17T24",0.56
1925,"17T24",0.56
1926,"17T24",0.62
1927,"17T24",0.64
1928,"17T24",0.58
1929,"17T24",0.68
1930,"17T24",0.53
1931,"17T24",1.16
1932,"17T24",0.98
1933,"17T24",0.97
1934,"17T24",1.01
1935,"17T24",1.09
1936,"17T24",0.83
1937,"17T24",0.93
1938,"17T24",1.04
1939,"17T24",0.78
1940,"17T24",0.91
1941,"17T24",0.9
1942,"17T24",0.94
1943,"17T24",0.75
1944,"17T24",0.84
1945,"17T24",0.8
1946,"17T24",0.74
1947,"17T24",0.74
1948,"17T24",0.88
1949,"17T24",0.67
1950,"17T24",0.81
1951,"17T24",0.69
1952,"17T24",0.68
1953,"17T24",0.68
1954,"17T24",0.68
1955,"17T24",0.8
1956,"17T24",0.74
1957,"17T24",0.77
1958,"17T24",0.71
1959,"17T24",0.71
1960,"17T24",0.63
1961,"17T24",0.78
1962,"17T24",0.69
1963,"17T24",0.89
1964,"17T24",1.03
1965,"17T24",0.94
1966,"17T24",0.96
1967,"17T24",0.87
1968,"17T24",0.85
1969,"17T24",0.87
1970,"17T24",1.05
1971,"17T24",0.79
1972,"17T24",0.79
1973,"17T24",0.72
1974,"17T24",0.75
1975,"17T24",0.62
1976,"17T24",1.06
1977,"17T24",1.2
1978,"17T24",0.99
1979,"17T24",1.01
1980,"17T24",0.99
1981,"17T24",1.15
1982,"17T24",0.84
1983,"17T24",0.95
1984,"17T24",1.06
1985,"17T24",0.92
1986,"17T24",0.82
1987,"17T24",0.85
1988,"17T24",0.73
1989,"17T24",1.02
1990,"17T24",1.1
1991,"17T24",0.97
1992,"17T24",0.9
1993,"17T24",0.92
1994,"17T24",1.02
1995,"17T24",0.98
1996,"17T24",1.11
1997,"17T24",1.09
1998,"17T24",0.91
1999,"17T24",0.91
2000,"17T24",0.9
2001,"17T24",0.87
2002,"17T24",0.82
2003,"17T24",0.81
2004,"17T24",0.79
2005,"17T24",0.97
2006,"17T24",0.86
2007,"17T24",0.63
2008,"17T24",0.91
2009,"17T24",1.16
2010,"17T24",1.07
2011,"17T24",1.03
2012,"17T24",1.35
2013,"17T24",1.03
2014,"17T24",1.42
2015,"17T24",1.37
2016,"17T24",1.2
2017,"17T24",1.03
1807,"17T25",1.63
1808,"17T25",1.17
1809,"17T25",1.39
1810,"17T25",1.49
1811,"17T25",1.74
1812,"17T25",1.37
1813,"17T25",1.53
1814,"17T25",1.44
1815,"17T25",1.38
1816,"17T25",1.33
1817,"17T25",1.31
1818,"17T25",1.76
1819,"17T25",1.79
1820,"17T25",1.56
1821,"17T25",1.98
1822,"17T25",1.85
1823,"17T25",2
1824,"17T25",1.75
1825,"17T25",1.68
1826,"17T25",1.69
1827,"17T25",1.49
1828,"17T25",1.68
1829,"17T25",1.73
1830,"17T25",1.87
1831,"17T25",1.77
1832,"17T25",1.98
1833,"17T25",1.76
1834,"17T25",1.91
1835,"17T25",1.7
1836,"17T25",1.65
1837,"17T25",1.65
1838,"17T25",1.24
1839,"17T25",1.52
1840,"17T25",1.57
1841,"17T25",2.06
1842,"17T25",1.39
1843,"17T25",1.65
1844,"17T25",1.38
1845,"17T25",1.36
1846,"17T25",1.35
1847,"17T25",1.63
1848,"17T25",1.73
1849,"17T25",1.13
1850,"17T25",1.59
1851,"17T25",1.45
1852,"17T25",1.36
1853,"17T25",1.26
1854,"17T25",1.53
1855,"17T25",1.68
1856,"17T25",1.45
1857,"17T25",1.55
1858,"17T25",1.51
1859,"17T25",1.08
1860,"17T25",1.2
1861,"17T25",1.22
1862,"17T25",1.48
1863,"17T25",1.41
1864,"17T25",1.12
1865,"17T25",1.33
1866,"17T25",1.42
1867,"17T25",1.3
1868,"17T25",1.48
1869,"17T25",1.23
1870,"17T25",1.26
1871,"17T25",1.11
1872,"17T25",1.02
1873,"17T25",1.31
1874,"17T25",1.07
1875,"17T25",1.35
1876,"17T25",1.39
1877,"17T25",1.77
1878,"17T25",1.3
1879,"17T25",1.54
1880,"17T25",1.64
1881,"17T25",1.67
1882,"17T25",1.53
1883,"17T25",1.25
1884,"17T25",1.92
1885,"17T25",1.92
1886,"17T25",2.04
1887,"17T25",1.75
1888,"17T25",1.86
1889,"17T25",2.14
1890,"17T25",1.88
1891,"17T25",1.9
1892,"17T25",1.88
1893,"17T25",1.74
1894,"17T25",1.72
1895,"17T25",2
1896,"17T25",1.66
1897,"17T25",2.32
1898,"17T25",2.11
1899,"17T25",1.58
1900,"17T25",2.5
1901,"17T25",1.97
1902,"17T25",1.86
1903,"17T25",2.06
1904,"17T25",2.27
1905,"17T25",1.89
1906,"17T25",1.91
1907,"17T25",2.23
1908,"17T25",2.11
1909,"17T25",2.14
1910,"17T25",1.99
1911,"17T25",1.93
1912,"17T25",1.9
1913,"17T25",1.85
1914,"17T25",1.96
1915,"17T25",2.02
1916,"17T25",2.17
1917,"17T25",1.38
1918,"17T25",1.64
1919,"17T25",1.55
1920,"17T25",1.08
1921,"17T25",1.25
1922,"17T25",1.21
1923,"17T25",1.29
1924,"17T25",1.65
1925,"17T25",1.4
1926,"17T25",1.49
1927,"17T25",1.26
1928,"17T25",1.59
1929,"17T25",1.25
1930,"17T25",1.22
1931,"17T25",0.98
1932,"17T25",0.96
1933,"17T25",0.99
1934,"17T25",1.3
1935,"17T25",1.13
1936,"17T25",0.76
1937,"17T25",1.21
1938,"17T25",1.55
1939,"17T25",1.66
1940,"17T25",1.18
1941,"17T25",1.61
1942,"17T25",1.42
1943,"17T25",1.35
1944,"17T25",1.47
1945,"17T25",1.36
1946,"17T25",1.5
1947,"17T25",1.86
1948,"17T25",1.9
1949,"17T25",1.39
1950,"17T25",1.52
1951,"17T25",1.48
1952,"17T25",1.52
1953,"17T25",1.36
1954,"17T25",1.31
1955,"17T25",1.34
1956,"17T25",1.3
1957,"17T25",1.56
1958,"17T25",1.34
1959,"17T25",1.04
1960,"17T25",1.04
1961,"17T25",1.02
1962,"17T25",1.21
1963,"17T25",1.22
1964,"17T25",1.36
1965,"17T25",1.57
1966,"17T25",1.83
1967,"17T25",1.56
1968,"17T25",1.52
1969,"17T25",1.63
1970,"17T25",1.71
1971,"17T25",1.21
1972,"17T25",1.21
1973,"17T25",1.2
1974,"17T25",1.24
1975,"17T25",1.3
1976,"17T25",1.23
1977,"17T25",1.36
1978,"17T25",1.35
1979,"17T25",1.22
1980,"17T25",0.89
1981,"17T25",1.16
1982,"17T25",1.33
1983,"17T25",1.11
1984,"17T25",1.04
1985,"17T25",0.91
1986,"17T25",0.62
1987,"17T25",0.58
1988,"17T25",0.54
1989,"17T25",0.69
1990,"17T25",0.72
1991,"17T25",0.49
1992,"17T25",0.07
1993,"17T25",0.16
1994,"17T25",0.44
1995,"17T25",0.44
1996,"17T25",0.56
1997,"17T25",0.64
1998,"17T25",0.9
1999,"17T25",1.08
2000,"17T25",1.36
2001,"17T25",1.49
2002,"17T25",1.54
2003,"17T25",1.15
2004,"17T25",1.72
2005,"17T25",2
2006,"17T25",1.43
2007,"17T25",1.45
2008,"17T25",1.31
2009,"17T25",1.63
2010,"17T25",1.37
2011,"17T25",1.31
2012,"17T25",1.53
2013,"17T25",1.26
2014,"17T25",1.29
2015,"17T25",1.17
2016,"17T25",1.32
1954,"17T28",5.23
1955,"17T28",5.69
1956,"17T28",4.81
1957,"17T28",4.92
1958,"17T28",5.46
1959,"17T28",5.56
1960,"17T28",4.52
1961,"17T28",4.92
1962,"17T28",4.89
1963,"17T28",4.78
1964,"17T28",4.64
1965,"17T28",4.31
1966,"17T28",4.03
1967,"17T28",3.69
1968,"17T28",3.43
1969,"17T28",3.18
1970,"17T28",2.59
1971,"17T28",3.09
1972,"17T28",2.2
1973,"17T28",1.98
1974,"17T28",2.97
1975,"17T28",2.67
1976,"17T28",3.11
1977,"17T28",2.91
1978,"17T28",2.9
1979,"17T28",2.01
1980,"17T28",2.91
1981,"17T28",2.63
1982,"17T28",2.21
1983,"17T28",2.68
1984,"17T28",2.1
1985,"17T28",2.36
1986,"17T28",2.57
1987,"17T28",2.44
1988,"17T28",1.9
1989,"17T28",2.18
1990,"17T28",2.11
1991,"17T28",1
1992,"17T28",1.72
1993,"17T28",2.39
1994,"17T28",2.75
1995,"17T28",2.52
1996,"17T28",2.47
1997,"17T28",2.23
1998,"17T28",2
1999,"17T28",1.5
2000,"17T28",1.55
2001,"17T28",1.56
2002,"17T28",1.49
2003,"17T28",1.65
2004,"17T28",1.99
2005,"17T28",2.18
2006,"17T28",1.86
2007,"17T28",2.07
2008,"17T28",2.57
2009,"17T28",2.91
2010,"17T28",2.63
2011,"17T28",1.68
2012,"17T28",1.61
2013,"17T28",1.21
2014,"17T28",1.22
2015,"17T28",1.48
2016,"17T28",1.82
2017,"17T28",1.81
1911,"17T29",5.34
1912,"17T29",7.44
1913,"17T29",6.29
1914,"17T29",5.46
1915,"17T29",5.99
1916,"17T29",6.66
1917,"17T29",4.33
1918,"17T29",3.36
1919,"17T29",3.73
1920,"17T29",4.13
1921,"17T29",3.73
1922,"17T29",2.24
1923,"17T29",3.28
1924,"17T29",2.66
1925,"17T29",3.53
1926,"17T29",2.6
1927,"17T29",3.82
1928,"17T29",3.34
1929,"17T29",3.48
1930,"17T29",2.76
1931,"17T29",3.54
1932,"17T29",3.52
1933,"17T29",3.69
1934,"17T29",2.71
1935,"17T29",2.23
1936,"17T29",1.77
1937,"17T29",2.4
1938,"17T29",2.03
1939,"17T29",1.7
1940,"17T29",1.81
1941,"17T29",1.67
1942,"17T29",2.63
1943,"17T29",2.8
1944,"17T29",1.94
1945,"17T29",1.9
1946,"17T29",1.62
1947,"17T29",2.09
1948,"17T29",1.93
1949,"17T29",1.33
1950,"17T29",1.45
1951,"17T29",0.85
1952,"17T29",1.01
1953,"17T29",1.16
1954,"17T29",1.28
1955,"17T29",1.73
1956,"17T29",2.01
1957,"17T29",1.97
1958,"17T29",1.88
1959,"17T29",1.09
1960,"17T29",1.9
1961,"17T29",1.53
1962,"17T29",1.91
1963,"17T29",1.8
1964,"17T29",1.93
1965,"17T29",1.75
1966,"17T29",1.52
1967,"17T29",1.42
1968,"17T29",1.41
1969,"17T29",1.99
1970,"17T29",1.83
1971,"17T29",1.33
1972,"17T29",2.04
1973,"17T29",2.05
1974,"17T29",1.77
1975,"17T29",2.77
1976,"17T29",2.23
1977,"17T29",2.1
1978,"17T29",2.19
1979,"17T29",1.98
1980,"17T29",1.49
1981,"17T29",1.64
1982,"17T29",1.86
1983,"17T29",2.76
1984,"17T29",2.29
1985,"17T29",2
1986,"17T29",2.06
1987,"17T29",1.58
1988,"17T29",1.37
1989,"17T29",1.15
1990,"17T29",1.46
1991,"17T29",1.33
1992,"17T29",1.1
1993,"17T29",0.97
1994,"17T29",1.14
1995,"17T29",0.99
1996,"17T29",0.87
1997,"17T29",1.52
1998,"17T29",2.08
1999,"17T29",1.68
2000,"17T29",1.44
2001,"17T29",1.18
2002,"17T29",1.03
2003,"17T29",0.98
2004,"17T29",0.63
2005,"17T29",0.99
2006,"17T29",0.86
2007,"17T29",0.61
2008,"17T29",0.85
2009,"17T29",0.59
2010,"17T29",0.73
2011,"17T29",1.44
2012,"17T29",1.25
2013,"17T29",1.02
2014,"17T29",1.1
2015,"17T29",0.84
2016,"17T29",0.23
1904,"17T33",4.36
1905,"17T33",4.81
1906,"17T33",4.94
1907,"17T33",4.27
1908,"17T33",4.82
1909,"17T33",3.39
1910,"17T33",4.02
1911,"17T33",4.1
1912,"17T33",5.02
1913,"17T33",5.62
1914,"17T33",4.37
1915,"17T33",5.06
1916,"17T33",5.03
1917,"17T33",3.59
1918,"17T33",1.38
1919,"17T33",2.44
1920,"17T33",2.76
1921,"17T33",2.17
1922,"17T33",1.43
1923,"17T33",2.11
1924,"17T33",1.38
1925,"17T33",2.3
1926,"17T33",2.02
1927,"17T33",2.14
1928,"17T33",2.02
1929,"17T33",2.31
1930,"17T33",2.03
1931,"17T33",2.12
1932,"17T33",1.8
1933,"17T33",1.74
1934,"17T33",1.67
1935,"17T33",1.55
1936,"17T33",2.15
1937,"17T33",2.43
1938,"17T33",1.64
1939,"17T33",1.42
1940,"17T33",1.44
1941,"17T33",1.64
1942,"17T33",2.3
1943,"17T33",1.95
1944,"17T33",1.4
1945,"17T33",1.49
1946,"17T33",1.44
1947,"17T33",1.58
1948,"17T33",1.44
1949,"17T33",1.01
1950,"17T33",0.92
1951,"17T33",0.6
1952,"17T33",0.33
1953,"17T33",0.38
1954,"17T33",0.24
1955,"17T33",0.47
1956,"17T33",0.54
1957,"17T33",0.87
1958,"17T33",1.11
1959,"17T33",0.92
1960,"17T33",1.23
1961,"17T33",1.1
1962,"17T33",0.76
1963,"17T33",0.95
1964,"17T33",1.09
1965,"17T33",0.6
1966,"17T33",0.43
1967,"17T33",0.59
1968,"17T33",0.35
1969,"17T33",0.46
1970,"17T33",0.55
1971,"17T33",0.44
1972,"17T33",0.47
1973,"17T33",0.34
1974,"17T33",0.33
1975,"17T33",0.41
1976,"17T33",0.42
1977,"17T33",0.48
1978,"17T33",0.55
1979,"17T33",0.67
1980,"17T33",1.28
1981,"17T33",1.66
1982,"17T33",1.1
1983,"17T33",1.59
1984,"17T33",1.38
1985,"17T33",0.74
1986,"17T33",0.71
1987,"17T33",0.58
1988,"17T33",0.82
1989,"17T33",0.69
1990,"17T33",0.92
1991,"17T33",0.88
1992,"17T33",0.64
1993,"17T33",0.66
1994,"17T33",0.65
1995,"17T33",0.49
1996,"17T33",0.83
1997,"17T33",1.12
1998,"17T33",1.37
1999,"17T33",1.46
2000,"17T33",0.91
2001,"17T33",0.64
2002,"17T33",0.71
2003,"17T33",0.6
2004,"17T33",0.37
2005,"17T33",0.57
2006,"17T33",0.55
2007,"17T33",0.43
2008,"17T33",0.56
2009,"17T33",0.42
2010,"17T33",0.56
2011,"17T33",0.72
2012,"17T33",1.24
2013,"17T33",1.12
2014,"17T33",1.05
2015,"17T33",0.96
2016,"17T33",0.5
2017,"17T33",0.8
1848,"18T102",2.21
1849,"18T102",1.63
1850,"18T102",1.78
1851,"18T102",2.02
1852,"18T102",2.88
1853,"18T102",2.18
1854,"18T102",2.13
1855,"18T102",2.26
1856,"18T102",1.66
1857,"18T102",1.9
1858,"18T102",1.9
1859,"18T102",1.83
1860,"18T102",2.02
1861,"18T102",2.46
1862,"18T102",1.98
1863,"18T102",2.31
1864,"18T102",2.05
1865,"18T102",1.77
1866,"18T102",1.7
1867,"18T102",1.66
1868,"18T102",1.93
1869,"18T102",1.65
1870,"18T102",1.79
1871,"18T102",1.62
1872,"18T102",1.75
1873,"18T102",2.2
1874,"18T102",2.56
1875,"18T102",2.44
1876,"18T102",2.33
1877,"18T102",2.41
1878,"18T102",2.29
1879,"18T102",2.26
1880,"18T102",1.91
1881,"18T102",2.04
1882,"18T102",1.89
1883,"18T102",1.52
1884,"18T102",1.55
1885,"18T102",1.73
1886,"18T102",1.53
1887,"18T102",1.72
1888,"18T102",2.11
1889,"18T102",1.82
1890,"18T102",1.45
1891,"18T102",1.77
1892,"18T102",1.86
1893,"18T102",1.58
1894,"18T102",1.72
1895,"18T102",1.61
1896,"18T102",2.14
1897,"18T102",2
1898,"18T102",1.92
1899,"18T102",2.02
1900,"18T102",2.29
1901,"18T102",1.97
1902,"18T102",1.67
1903,"18T102",1.71
1904,"18T102",1.67
1905,"18T102",1.39
1906,"18T102",1.32
1907,"18T102",1.49
1908,"18T102",1.53
1909,"18T102",1.42
1910,"18T102",1.4
